ENTREZID,log2FoldChange
1,0.487061764
2,-0.793607896
3,1.225476911
9,-0.168461756
13,0.947937567
14,0.34398333
15,0.226904639
16,-0.540410922
18,0.067269578
19,-0.331244297
20,0.297158262
21,-0.292975604
22,0.102445774
23,-0.149559823
24,-0.881343664
25,-0.470234105
26,-2.325389927
27,0.150908729
28,0.367475163
29,0.095163919
30,0.443105682
31,0.015593658
32,0.661602617
33,0.26032488
34,0.525769063
35,0.026064147
36,0.161596109
37,0.283251731
38,-0.249622604
39,0.85388439
41,1.428655133
43,-1.92931436
47,0.065249621
48,0.197363119
49,0.822352794
50,-0.536275947
51,0.353682422
52,-0.329959156
53,-0.024206461
54,-0.696232849
55,0.457670276
56,1.647419353
58,-2.432579996
59,-0.465536199
60,-0.193756155
70,-2.042606269
71,-0.089827591
72,-1.774691768
81,-0.333809007
86,0.225422468
87,-0.086427223
88,-1.373902871
89,-0.985953346
90,-0.040387188
91,0.372889923
92,0.439878412
93,1.489845708
94,-0.644507368
95,-0.122121954
97,0.984079728
98,-0.270470536
100,-0.091766368
101,0.135507247
102,0.365134716
103,-0.389717304
104,-0.017438906
105,0.018342022
107,1.834066112
109,-0.523641658
111,-0.433285453
112,-0.021531269
113,0.288654511
115,-0.587661072
116,1.282755484
118,-1.050048765
119,-0.831485015
120,-0.016551708
123,-0.317569775
124,-0.962776654
125,-0.397833265
126,-0.397833265
127,-0.778197754
128,0.231523345
130,-0.920949988
131,-1.625419828
132,0.225753573
133,-0.305587111
134,1.540600203
135,0.506142761
136,-0.095121099
140,-0.9812033
141,0.074007397
142,-0.244273003
143,0.294456923
144,-1.630655166
146,-1.099735752
147,-2.141220108
150,-0.552039468
151,-1.947383593
152,-0.584421998
